date, pm25, pm10, o3, no2, so2, co
2022/2/2, 60, 21, 32, 32, 1, 5
2022/2/3, 67, 21, 34, 30, 1, 5
2022/2/4, 68, 12, 34, 27, 5, 3
2022/2/5, 45, 11, 35, 18, 1, 3
2022/2/6, 48, 10, 34, 15, 1, 2
2022/2/7, 43, 9, 32, 25, 1, 3
2022/2/8, 42, 17, 33, 32, 1, 4
2022/2/9, 62, 16, 35, 27, 1, 4
2022/2/10, 55, 14, 33, 28, 1, 3
2022/2/11, 49, 8, 27, 19, , 4
2022/2/12, 25, , , , , 
2022/1/4, 62, 12, 28, 22, 1, 3
2022/1/5, 49, 9, 29, 18, 1, 3
2022/1/6, 41, 13, 22, 30, 1, 3
2022/1/7, 50, 14, 30, 28, 1, 3
2022/1/8, 56, 16, 30, 29, 1, 4
2022/1/9, 63, 20, 31, 27, 1, 4
2022/1/10, 66, 19, 33, 26, 1, 4
2022/1/11, 65, 20, 30, 34, 1, 5
2022/1/12, 62, 8, 27, 25, 1, 3
2022/1/13, 39, 13, 31, 20, 1, 2
2022/1/14, 45, 10, 28, 21, 1, 2
2022/1/15, 32, 12, 30, 22, 1, 3
2022/1/16, 42, 18, 24, 26, 1, 3
2022/1/17, 61, 18, 31, 33, 1, 4
2022/1/18, 58, 8, 29, 22, 1, 2
2022/1/19, 40, 10, 27, 31, 1, 4
2022/1/20, 47, 10, 29, 28, 1, 4
2022/1/21, 44, 10, 30, 25, 1, 3
2022/1/22, 42, 13, 30, 22, 1, 3
2022/1/23, 48, 14, 20, 25, 1, 3
2022/1/24, 52, 11, 34, 28, 1, 4
2022/1/25, 45, 8, 28, 31, 1, 3
2022/1/26, 45, 19, 33, 24, 2, 3
2022/1/27, 51, 18, 33, 22, 1, 4
2022/1/28, 47, 20, 29, 30, 2, 4
2022/1/29, 61, 16, 32, 25, 1, 5
2022/1/30, 55, 10, 30, 17, 1, 3
2022/1/31, 45, 8, 29, 23, 1, 3
2022/2/1, 40, 19, 35, 32, 1, 4
2021/10/2, 47, 17, 40, 17, 1, 3
2021/10/3, 55, 17, 45, 16, 1, 3
2021/10/4, 58, 20, 57, 25, 1, 3
2021/10/5, 61, 25, 60, 25, 1, 3
2021/10/6, 66, 20, 35, 22, 1, 3
2021/10/7, 55, 17, 38, 22, 1, 3
2021/10/8, 52, 22, 46, 22, 1, 4
2021/10/9, 64, 19, 43, 16, 1, 3
2021/10/10, 60, 13, 31, 10, 1, 2
2021/10/11, 48, 17, 32, 19, 1, 2
2021/10/12, 50, 12, 28, 18, 1, 6
2021/10/13, 38, 13, 29, 19, 1, 13
2021/10/14, 39, 12, 34, 20, 1, 6
2021/10/15, 48, 14, 40, 21, 1, 6
2021/10/16, 50, 18, 52, 21, 1, 6
2021/10/17, 58, 8, 32, 9, 1, 2
2021/10/18, 34, 9, 29, 17, 1, 3
2021/10/19, 38, 14, 27, 23, 2, 4
2021/10/20, 50, 11, 28, 16, 1, 3
2021/10/21, 40, 12, 28, 21, 1, 4
2021/10/22, 41, 11, 35, 20, 1, 3
2021/10/23, 40, 13, 33, 17, 1, 3
2021/10/24, 44, 15, 31, 19, 1, 3
2021/10/25, 53, 12, 31, 27, 1, 4
2021/10/26, 49, 11, 31, 25, 1, 3
2021/10/27, 40, 13, 33, 23, 1, 4
2021/10/28, 48, 16, 35, 25, 1, 4
2021/10/29, 53, 12, 32, 23, 1, 3
2021/10/30, 45, 16, 41, 22, 1, 3
2021/10/31, 56, 16, 38, 17, 1, 3
2021/11/1, 63, 16, 34, 22, 1, 3
2021/11/2, 64, 19, 41, 18, 1, 3
2021/11/3, 62, 17, 36, 21, 1, 3
2021/11/4, 50, 12, 33, 22, 1, 3
2021/11/5, 51, 17, 35, 26, 1, 4
2021/11/6, 56, 14, 37, 22, 1, 3
2021/11/7, 49, 13, 40, 16, 1, 3
2021/11/8, 49, 11, 34, 15, 1, 2
2021/11/9, 42, 10, 27, 17, 1, 3
2021/11/10, 38, 11, 32, 21, 1, 3
2021/11/11, 43, 11, 28, 24, 1, 3
2021/11/12, 41, 12, 29, 24, 1, 3
2021/11/13, 46, 14, 29, 23, 1, 4
2021/11/14, 53, 17, 29, 22, 1, 4
2021/11/15, 58, 26, 36, 29, 1, 4
2021/11/16, 75, 27, 37, 29, 1, 4
2021/11/17, 70, 21, 36, 24, 2, 4
2021/11/18, 60, 22, 38, 28, 1, 4
2021/11/19, 65, 32, 40, 37, 2, 5
2021/11/20, 82, 31, 41, 29, 2, 4
2021/11/21, 80, 26, 37, 25, 1, 4
2021/11/22, 72, 22, 30, 26, 1, 4
2021/11/23, 62, 15, 28, 14, 1, 2
2021/11/24, 50, 12, 29, 20, 1, 2
2021/11/25, 44, 23, 34, 31, 2, 5
